Studento vardas   Pavarde              ND1   ND2   ND3   ND4   ND5   ND6   ND7   ND8   ND9  ND10  ND11  ND12  ND13  ND14  ND15   Egzamino rez
Vardas1           Pavarde1               2     8     5     1    10     5     9     9     3     5     6     6     2     8     2              2
Vardas2           Pavarde2               6     3     8     7     2     5     3     4     3     3     2     7     9     6     8              7
Vardas3           Pavarde3               2     9    10     3     8    10     6     5     4     2     3     4     4     5     2              2
Vardas4           Pavarde4               4     9     8     5     3     8     8    10     4     2    10     9     7     6     1              3
Vardas5           Pavarde5               9     7     1     3     5     9     7     6     1    10     1     1     7     2     4              9
Vardas6           Pavarde6              10     4     5     5     7     1     7     7     2     9     5    10     7     4     8              9
Vardas7           Pavarde7               9     3    10     2     4     6    10     9     5     1     8     7     4     7     2              6
Vardas8           Pavarde8               5     3     1    10     8     4     8     3     7     1     2     7     6     8     6              5
Vardas9           Pavarde9               2     3     1     1     2     5     7     1     8     2     8     8     8     8     4              4
Vardas10          Pavarde10              6    10    10     9     2     9     3     7     7     1     4     9     1     2     3              6
Vardas11          Pavarde11              1    10     5     8     9     4     6     2     3     1     2     7     5     1     7              2
Vardas12          Pavarde12              9    10     9     5     2     5     4    10     9     9     1     9     8     8     9              4
Vardas13          Pavarde13              9     4     8     2     1     8     4     5    10     7     6     2     1    10    10              7
Vardas14          Pavarde14              9     4     5     9     5    10    10     3     6     6     4     4     4     8     5              4
Vardas15          Pavarde15              9     1     9     9     1     7     9     2    10     9    10     8     3     3     9              3
Vardas16          Pavarde16              9    10     1     8     9     2     6     9     7     2     3     5     3     6     9              7
Vardas17          Pavarde17              3     7     6     4    10     3     5     7     2     9     3     2     2    10     8              7
Vardas18          Pavarde18              3    10     6     3     1     1     4    10     2     9     2    10     6     4     3              6
Vardas19          Pavarde19              3     6     9     7     8     8     3     3    10     5     2    10     7    10     9              3
Vardas20          Pavarde20              6     6     5    10     2     3     6     1     9     4    10     4    10     7     8             10
Vardas21          Pavarde21             10     8     7    10     4     6     8     7     7     6     9     3     6     5     5              2
Vardas22          Pavarde22              7     2     7     4     4     6     6     4     3     9     3     6     4     7     2              9
Vardas23          Pavarde23              7     3     2     5     7     3    10     2     6     1     4     7     5    10     3             10
Vardas24          Pavarde24              4     5     5     1     6    10     7     4     5     3     9     9     8     6     9              2
Vardas25          Pavarde25              3     6     8     5     5     5     5     5     3    10     4     1     8     8     9              8
Vardas26          Pavarde26              4     1     4     9     3     6     3     1     4     8     3    10     8     6     4              5
Vardas27          Pavarde27              4     3     2     2     4     3     6     4     6     2     3     3     3     7     5              1
Vardas28          Pavarde28              8     1     4     5     1     1     6     4     2     1     7     8     6     1     1              5
Vardas29          Pavarde29              6     5    10     6     7     5     9     3     2     7     9     4     2     5     9              5
Vardas30          Pavarde30             10     3     1     8     1     7     1     8     1     6     7     8     4     9     5             10
Vardas31          Pavarde31              3     7     6     8     8     5     6     8    10     9     4     1     3     3     4              7
Vardas32          Pavarde32              8     2     6     6     5     1     3     7     1     7     2     2     2     8     4              1
Vardas33          Pavarde33              1     5     9     4     1     2     3    10     1     4     9     9     6     8     8              1
Vardas34          Pavarde34              9    10     4     1     8     5     8     9     4     8     2     1     1     9     4              5
Vardas35          Pavarde35              6     1     2     5     6     7     3     1     4     6     7     7     7     8     7              8
Vardas36          Pavarde36              8     2    10     2     7     3     8     3     8     7     6     2     4    10    10              6
Vardas37          Pavarde37             10     3     7     6     4     3     5     5     5     3     8    10     3     4     8              4
Vardas38          Pavarde38              2     6     8     9     6     9     4     3     5     2     2     6    10     6     2              1
Vardas39          Pavarde39              7     5     6     4     1     9    10     2     4     5     8     5     7     4     7              6
Vardas40          Pavarde40              3     9     2     1     4     2     6     6     3     3     2     8     5     9     3              4
Vardas41          Pavarde41              7     4     1     4     6     3     9     1     8     3     3     6    10     2     1              9
Vardas42          Pavarde42              6     1     8    10     1     6     4     5     2     1     5     9     6    10     3              6
Vardas43          Pavarde43              5     2     4    10     6     9     3     8    10     7     2     8     8     2    10              1
Vardas44          Pavarde44              4     5     2     8     6     4     4     3     5     2     3    10     1     9     8              5
Vardas45          Pavarde45              6     7     9     1     8     8     5     4     2     4     7     4     1     2    10              1
Vardas46          Pavarde46              5     3    10     4     2     5     9     3     1     6     6    10     4     3     9              8
Vardas47          Pavarde47              5     9     2     5     4     6     6     3     7     9    10     3    10     6    10              5
Vardas48          Pavarde48              6     1     6     9     9     1     2     4     3     3     3     8     1     4     2              4
Vardas49          Pavarde49              4     8     1    10     6     6     9     4     8     9     4     8    10     4    10              2
Vardas50          Pavarde50              9     3     9     1     2     9     5     9     7     1    10     4     1     1     9              8
Vardas51          Pavarde51              7     4     6     7     6     9     4    10     5     9     4    10     8     7     5              6
Vardas52          Pavarde52              9     7     2     6     6     2    10     7     5     6     5     3     6     4     3              7
Vardas53          Pavarde53              9     3     7     7     4    10     5     6     7     3     6     4     6     7     7              2
Vardas54          Pavarde54              5     5     7     3     7     9     3     6     6     2     1     2     6     2     8              7
Vardas55          Pavarde55              1     1     3     5     4     4     7     3     9     3     4     5     4     5     4              7
Vardas56          Pavarde56              9     5     8     4    10     9     1     1     9     9     1     6     2     5     4              7
Vardas57          Pavarde57              4    10     3     2    10     9     3     4     5     1     3     4     2    10     9             10
Vardas58          Pavarde58              9    10     2     4     6     2     5     3     6     4     9    10     3     9     8              1
Vardas59          Pavarde59              2     5     9     2    10     4     6    10     8    10     9     1     2     5     8              6
Vardas60          Pavarde60              6     6     1    10     3     9     3     5     6     1     5     5     1     6     2              2
Vardas61          Pavarde61              6    10     1     9     4     9     8     3     7    10     4     9     2     1     4              4
Vardas62          Pavarde62              9     5     9     1     2     6     5     2     4     8     4     6     9     6     7             10
Vardas63          Pavarde63              1     9    10     4     7     1     7    10     8     9    10     5     2     6     7              7
Vardas64          Pavarde64              7     7     7     8     2     5     1     7     2     3     2     5    10     6     3              4
Vardas65          Pavarde65              5     2     6     3     4     2     7     9     9     3     8     8     2     3     7              1
Vardas66          Pavarde66              5    10     5     7     1     4     7     3     5     6     9     9     2     3     2              5
Vardas67          Pavarde67             10     9     3     5     6     3    10    10     9     4     9     7    10     9     7              7
Vardas68          Pavarde68              3     4     9     3     7     3     8     6     8     9     3     8     9     1     3              1
Vardas69          Pavarde69              9    10     3     9     3     1     6     6     3     8     7     8     9     8     9              2
Vardas70          Pavarde70              7     1    10     6     9    10     1     1     1     8     3     6     6     3     2              5
Vardas71          Pavarde71              9     7     5     7     9    10     9     4     6     6     2     6     6     9     5              1
Vardas72          Pavarde72              6     5     8     3     2     5    10    10     1     4     1     4     6     1     8              7
Vardas73          Pavarde73              8     9     4     7     5     5     2    10     6     6     8     5     8     4     5              1
Vardas74          Pavarde74              9     9     2     6     3     4     3     5     7     7     7     3    10     1     5             10
Vardas75          Pavarde75              4     2     2    10    10     6     6     6     7     1     6    10     5     7     4              5
Vardas76          Pavarde76             10     1     6     4    10     2     3     9     9     2     9     7     1     3     5             10
Vardas77          Pavarde77              1     3     3     2     6     5     5     5     3     6     1     5     3     2     3              8
Vardas78          Pavarde78              8    10     6     6     5     1     4     5     2     3     3    10     9     3     3              8
Vardas79          Pavarde79              9     6     9     4    10     5     5     7    10     9     6     7     7     1     8              3
Vardas80          Pavarde80              8     3     7     5     8     2     4     3     2     7     4     9     4     3     9              7
Vardas81          Pavarde81              1     2     3     7     1     6     5     7     8    10     4     5     8     9     9              2
Vardas82          Pavarde82              7     4     9     8     7     2     8     3     4     8     9     6     9     6     9              8
Vardas83          Pavarde83              4     4     2     1     9     2     1    10     3     5    10     2     6     8     4              4
Vardas84          Pavarde84              5     3     3     1     2     3     8     8     1     3     5     2     1     4     8              4
Vardas85          Pavarde85             10     6    10     8     3     1     3     9     7     8     1     9     2     9     4              1
Vardas86          Pavarde86              4     7     3     1     3     9     5     2     9     4     8     6     9     2     8              1
Vardas87          Pavarde87              5     9     9     2     4     7     8     9    10     6     6     6     7     7     4              1
Vardas88          Pavarde88              1     9     9     3     4     1     7     6     1    10     8     3     3     9     3             10
Vardas89          Pavarde89              5     5     9     3     8     3     6     9     5     8     4    10     6     2    10              1
Vardas90          Pavarde90              3     9     4     2     5     4     2     1     5     1     8    10     1     9     2              5
Vardas91          Pavarde91              1     8    10     6     4     9     3     4     3     2     1     5     1     8     6             10
Vardas92          Pavarde92              1     6     2     3     1    10     9    10     2     8     4     4     1     8     7              7
Vardas93          Pavarde93              1     3     9    10     9    10    10    10     5     3     1     9     8     9     8              4
Vardas94          Pavarde94              1     8     7     5     3     2    10     2     7     1     4     4     7     3     3              2
Vardas95          Pavarde95              5     4     3     7     1     6     5    10     7     1     9     3     8     5     1              8
Vardas96          Pavarde96              7     1     2     3    10     4     9     6     2     6     7     7     9     9    10              9
Vardas97          Pavarde97              8     1     8    10     2     6     9     7     4    10     5     6     4     9     3              4
Vardas98          Pavarde98             10     5     9     6     2     4     3     9     2     7     5     7     8     8    10              7
Vardas99          Pavarde99              5     2    10     3     7     4     2     6    10     8     1     3     7     2     8              7
Vardas100         Pavarde100             3     6     4     5     1     8     6     6     4     2     9     9     9     1     2              8
Vardas101         Pavarde101             6     1     6    10     1    10     4     6     5     3     8     3     7     8     3              3
Vardas102         Pavarde102             1     2     2     8     6    10     2     9     2     8     9     7     7    10    10              3
Vardas103         Pavarde103             7     7     6     9     5     1     4     8     9     4     2     2     3     6     8              7
Vardas104         Pavarde104             3     2     7     2     2     6     8     5     9     6     7     5    10     9     5              4
Vardas105         Pavarde105             3     6     4     9     4     3     8     1     7     9     1     2     2    10     6              4
Vardas106         Pavarde106             7     4     2     6     4     5     1     4     2     8    10     1     4     6     3             10
Vardas107         Pavarde107             2     3     7     2     8     1     2     6     3     3    10     1     6     2     9              4
Vardas108         Pavarde108             7     9     9     7     2     7     7     8     1     5    10     9    10     5    10              9
Vardas109         Pavarde109             8     6     7     5     9     7     9     8     9     1    10     6     7    10     1              1
Vardas110         Pavarde110             2     4     6     6     9     1     2     8     8     5     7     8     1     8     5              2
Vardas111         Pavarde111             3     2     9     4     6     8     2     5     8     7     9     3     4     1     3              8
Vardas112         Pavarde112             9     9     6    10     8     2     4     5     8     2     4     8     2     3     8              6
Vardas113         Pavarde113             4     5     5     6     6     2     5     2     3     7     7     4     4     1     1              9
Vardas114         Pavarde114             2     4     9     2     7    10     9     1     2     4    10     4    10     4     7              6
Vardas115         Pavarde115             6     5     1     6     1     7     6     6     2     9    10     7     3     3     6              1
Vardas116         Pavarde116             6     3     6     3     1     7     8     3     9     1     1     7     9     4     1              7
Vardas117         Pavarde117             5     4     8     1     6     3     1     8     6     7     2     9     2     9     6              7
Vardas118         Pavarde118             6    10     3     7     6     3     4     3     2     3     3     9     9     9     8              5
Vardas119         Pavarde119             1     1     6    10    10     6     4     1    10    10     6     2     2     2     3              4
Vardas120         Pavarde120             4    10     8     3     4     4     1     5     9     5     4    10     3     5    10              1
Vardas121         Pavarde121             6     8     5     8     7     7     4     1    10     1     9     1     2     6     2              1
Vardas122         Pavarde122             4    10     6     9    10     7     3     6     8     7     4     9     6    10     4              1
Vardas123         Pavarde123             3     6     2     6     8     8    10     5     2     8     9     6     8     9     9              5
Vardas124         Pavarde124             3     4     9     5     2     4     1     5     2     8     8     3     2     4     2              4
Vardas125         Pavarde125             2     6     2     6     1     6     2     3     3     2     6     6     4     9    10              3
Vardas126         Pavarde126             9     5     3     8     6     9     5     1    10     5     5     4     6     9     5              2
Vardas127         Pavarde127             1     4     4     5     1     7     8     6     6     7     1    10     9     4     6              8
Vardas128         Pavarde128            10     1     5     9     8     5     1     3     4     6     5     2     7     7     5              6
Vardas129         Pavarde129             3    10     2     3     5    10    10     4     8     7     6     9     8     9    10              8
Vardas130         Pavarde130             8     2     7     6     1     2     4     3     7     1     6     8     5     5    10              1
Vardas131         Pavarde131             7     2     2    10     1     5     3     2    10     8     1    10     4     4     4              2
Vardas132         Pavarde132             4     6     7    10     6    10     9     9     4    10     6     2     4     7     3              9
Vardas133         Pavarde133             9     2    10     9     2     4     4     5     4    10     3     8     3     2     8              7
Vardas134         Pavarde134             2     8     4     1     7     1     3     6     7     1     8     3     1    10     6              5
Vardas135         Pavarde135             4     3     6     7     1     9     9     2     6     8     6     8    10     3     4              8
Vardas136         Pavarde136             3     8    10     4     7     4     9     2     1     7     9     8     7     6     2              3
Vardas137         Pavarde137            10     6     7     2     6     5     2     4     9     6     1    10     3     2     4              4
